year,nestbox_id,lat_dd,lon_dd,species,lay_date,clutch_size,ld_doy
1955,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1955-05-01,12,121
1957,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1957-04-15,8,105
1961,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1961-04-11,10,101
1965,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1965-05-04,12,124
1967,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1967-04-16,9,106
1968,HV.0001.0,52.0443124264284,5.84590317440818,pied flycatcher,1968-05-07,6,128
1969,HV.0001.0,52.0443124264284,5.84590317440818,pied flycatcher,1969-05-06,6,126
1971,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1971-04-19,10,109
1972,HV.0001.0,52.0443124264284,5.84590317440818,great tit,1972-04-24,9,115
1973,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1973-04-24,13,114
1974,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1974-04-19,8,109
1975,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1975-05-03,7,123
1976,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1976-04-16,12,107
1977,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1977-04-30,10,120
1978,HV.0001.0,52.0462109014715,5.8541214220629,blue tit,1978-04-27,9,117
1979,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1979-04-24,10,114
1980,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1980-04-20,12,111
1981,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,1981-05-26,6,146
1982,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1982-06-02,7,153
1983,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1983-06-16,9,167
1984,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,1984-05-10,6,131
1985,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1985-04-21,9,111
1986,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,1986-05-07,6,127
1987,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1987-04-23,8,113
1988,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1988-04-23,7,114
1989,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1989-04-22,7,112
1990,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1990-04-06,11,96
1991,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1991-04-11,8,101
1992,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1992-04-09,10,100
1993,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1993-04-26,9,116
1994,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,1994-05-07,7,127
1995,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1995-04-28,9,118
1996,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1996-06-06,7,158
1997,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1997-04-10,10,100
1998,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1998-04-22,9,112
1999,HV.0001.0,52.0462109014715,5.8541214220629,great tit,1999-04-17,9,107
2000,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2000-04-11,9,102
2002,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2002-04-24,7,114
2003,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2003-04-19,7,109
2004,HV.0001.0,52.0462109014715,5.8541214220629,blue tit,2004-04-19,10,110
2005,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2005-04-17,12,107
2006,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2006-05-12,10,132
2008,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2008-04-19,7,110
2009,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2009-04-23,11,113
2010,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,2010-05-08,8,128
2011,HV.0001.0,52.0462109014715,5.8541214220629,nuthatch,2011-04-04,9,94
2012,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2012-04-07,8,98
2013,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2013-05-05,11,125
2014,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,2014-05-14,5,134
2015,HV.0001.0,52.0462109014715,5.8541214220629,pied flycatcher,2015-04-26,5,116
2016,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2016-05-05,9,126
2017,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2017-04-05,9,95
2019,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2019-04-11,8,101
2020,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2020-04-18,10,109
2021,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2021-04-26,10,116
2022,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2022-04-15,8,105
2023,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2023-04-18,7,108
2024,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2024-04-09,11,100
2025,HV.0001.0,52.0462109014715,5.8541214220629,great tit,2025-04-11,11,101
1955,HV.0002.0,52.0439570250512,5.84476063226659,coal tit,1955-04-30,10,120
1956,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1956-06-12,10,164
1957,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1957-04-23,7,113
1959,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1959-06-03,8,154
1961,HV.0002.0,52.0439570250512,5.84476063226659,blue tit,1961-04-18,12,108
1967,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1967-04-19,6,109
1968,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1968-04-26,11,117
1969,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1969-04-27,10,117
1970,HV.0002.0,52.0439570250512,5.84476063226659,great tit,1970-05-04,7,124
1971,HV.0002.0,52.0439570250512,5.84476063226659,pied flycatcher,1971-05-09,6,129
1972,HV.0002.0,52.0439570250512,5.84476063226659,pied flycatcher,1972-05-21,6,142
1973,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1973-04-23,9,113
1974,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1974-05-08,7,128
1975,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1975-04-24,10,114
1976,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1976-06-09,11,161
1977,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1977-05-03,9,123
1978,HV.0002.0,52.0463202006617,5.85375813128272,tree sparrow,1978-05-10,5,130
1979,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1979-05-18,5,138
1980,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1980-05-04,9,125
1981,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1981-04-15,9,105
1982,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1982-04-10,11,100
1983,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1983-04-22,11,112
1984,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1984-04-28,5,119
1985,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1985-05-03,7,123
1986,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1986-04-29,11,119
1987,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1987-05-02,7,122
1988,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1988-04-23,8,114
1989,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1989-04-16,4,106
1990,HV.0002.0,52.0463202006617,5.85375813128272,blue tit,1990-04-18,11,108
1991,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1991-04-18,10,108
1992,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1992-05-05,6,126
1993,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1993-04-15,6,105
1994,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1994-04-16,9,106
1995,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1995-05-01,9,121
1996,HV.0002.0,52.0463202006617,5.85375813128272,great tit,1996-04-21,8,112
1997,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1997-05-09,7,129
1998,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1998-05-06,7,126
1999,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,1999-05-13,6,133
2001,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,2001-05-05,6,125
2002,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,2002-05-04,6,124
2003,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2003-04-26,9,116
2005,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2005-04-07,8,97
2006,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,2006-05-15,6,135
2007,HV.0002.0,52.0463202006617,5.85375813128272,coal tit,2007-04-02,8,92
2008,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2008-04-16,9,107
2009,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2009-04-11,11,101
2010,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2010-04-18,9,108
2011,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2011-04-20,12,110
2012,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2012-04-18,5,109
2013,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2013-05-04,7,124
2014,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2014-04-08,8,98
2015,HV.0002.0,52.0463202006617,5.85375813128272,nuthatch,2015-04-14,7,104
2016,HV.0002.0,52.0463202006617,5.85375813128272,nuthatch,2016-04-16,7,107
2017,HV.0002.0,52.0463202006617,5.85375813128272,blue tit,2017-04-06,8,96
2018,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2018-04-15,7,105
2019,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2019-04-17,7,107
2020,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2020-04-17,8,108
2021,HV.0002.0,52.0463202006617,5.85375813128272,pied flycatcher,2021-05-11,6,131
2022,HV.0002.0,52.0463202006617,5.85375813128272,blue tit,2022-04-15,9,105
2023,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2023-04-28,9,118
2024,HV.0002.0,52.0463202006617,5.85375813128272,great tit,2024-04-05,11,96
