dataset;sub_dataset;start_date;end_date;variable;description;description_sub
Soil;Types;1-1-2020;1-1-2025;;This dataset contains soil data of the Netherlands;Provides the soil types for the selected area. Scale 1:50 000. At a depth of 1.2 meters
Soil;Params;1-1-2020;1-1-2025;;This dataset contains soil data of the Netherlands;Provides the soil parameters for the selected area.
NDVI;Map;11-8-2025;11-8-2025;;Normalized Difference Vegetation Index;Provides a map with the NDVI values for the selected area.
NDVI;Zonal statistics;1-1-2024;1-1-2024;;Normalized Difference Vegetation Index;Provides the calculated average, standard deviation, minimum and maximum NDVI values for the selected area.
AHN;Map;31-3-2025;11-8-2025;;Actueel Hoogtebestand Nederland (https://www.ahn.nl/) ;Provides a map with the AHN values for the selected area.
AHN;Zonal statistics;1-1-2019;1-1-2025;;Actueel Hoogtebestand Nederland (https://www.ahn.nl/) ;Provides the calculated average, standard deviation, minimum and maximum AHN values for the selected area.
LiDAR vegetation;Vegetation height;1-1-2020;1-1-2025;;Data derived from country-wide airbone laser scanning surveys of the Netherlands (https://zenodo.org/records/15261042) ;Vegetation height derived from LiDAR
LiDAR vegetation;Vegetation cover;1-1-2020;1-1-2025;;Data derived from country-wide airbone laser scanning surveys of the Netherlands (https://zenodo.org/records/15261042) ;Vegetation cover derived from LiDAR
LiDAR vegetation;Vegetation structural;1-1-2020;1-1-2025;;Data derived from country-wide airbone laser scanning surveys of the Netherlands (https://zenodo.org/records/15261042) ;Vegetation structural variability from LiDAR
Satellite;Images;11-8-2025;11-8-2025;;Satellite images;Provides a satellite image of the selected area.
KNMI;Daily in situ;1-1-2024;1-6-2024;"DDVEC: Vector mean wind direction in degrees (360=north; 90=east; 180=south; 270=west; 0=calm/variable)";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;FHVEC: Vector mean windspeed (in 0.1 m/s);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;FG: Daily mean windspeed (in 0.1 m/s);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;FHX: Maximum hourly mean windspeed (in 0.1 m/s);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;FHXH: Hourly division in which FHX was measured;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;FHN: Minimum hourly mean windspeed (in 0.1 m/s);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;FHNH: Hourly division in which FHN was measured;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;FXX: Maximum wind gust (in 0.1 m/s);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;FXXH: Hourly division in which FXX was measured;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;TG: Daily mean temperature in (0.1 degrees Celsius);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;TN: Minimum temperature (in 0.1 degrees Celsius);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;TNH: Hourly division in which TN was measured;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;TX: Maximum temperature (in 0.1 degrees Celsius);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;TXH: Hourly division in which TX was measured;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;T10N: Minimum temperature at 10 cm above surface (in 0.1 degrees Celsius);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;"T10NH: 6-hourly division in which T10N was measured; 6=0-6 UT; 12=6-12 UT; 18=12-18 UT; 24=18-24 UT";This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;SQ: Sunshine duration (in 0.1 hour) calculated from global radiation (-1 for <0.05 hour);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;SP: Percentage of maximum potential sunshine duration;This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;Q: Global radiation (in J/cm2);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;DR: Precipitation duration (in 0.1 hour);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
KNMI;Daily in situ;1-1-2024;1-6-2024;RH: Daily precipitation amount (in 0.1 mm) (-1 for <0.05 mm);This dataset contains climate data from the KNMI, you can find this data aswell on: https://dataplatform.knmi.nl/;The data is from weather stations. It returns the daily data from all weather stations within your selected area. In case there are no weather stations in your area it will return the data from the closest weather station (based on the distance from the centroid of your area).
