dataset;variable_short;variable_long;variable_description_nl;variable_description_eng
daily;STN;stationID;StationID;StationID
daily;YYYYMMDD;YYYYMMDD;Datum (YYYY=jaar MM=maand DD=dag);Date (YYYY=year MM=month DD=day)
daily;DDVEC;vectorGemiddeldeWindrichting;"Vectorgemiddelde windrichting in graden (360=noord; 90=oost; 180=zuid; 270=west; 0=windstil/variabel). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken";"Vector mean wind direction in degrees (360=north; 90=east; 180=south; 270=west; 0=calm/variable). See http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken"
daily;FHVEC;vectorGemiddeldeWindsnelheid;Vectorgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken;Vector mean windspeed (in 0.1 m/s). See http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken
daily;FG;gemWind;Etmaalgemiddelde windsnelheid (in 0.1 m/s) ;Daily mean windspeed (in 0.1 m/s)
daily;FHX;maxWin;Hoogste uurgemiddelde windsnelheid (in 0.1 m/s);Maximum hourly mean windspeed (in 0.1 m/s)
daily;FHXH;uurMaxWind;Uurvak waarin FHX is gemeten;Hourly division in which FHX was measured
daily;FHN;minWind;Laagste uurgemiddelde windsnelheid (in 0.1 m/s);Minimum hourly mean windspeed (in 0.1 m/s)
daily;FHNH;uurMinWind;Uurvak waarin FHN is gemeten;Hourly division in which FHN was measured
daily;FXX;maxWindstoot;Hoogste windstoot (in 0.1 m/s);Maximum wind gust (in 0.1 m/s)
daily;FXXH;uurMaxWindstoot;Uurvak waarin FXX is gemeten;Hourly division in which FXX was measured
daily;TG;gemTemp;Etmaalgemiddelde temperatuur (in 0.1 graden Celsius);Daily mean temperature in (0.1 degrees Celsius)
